timec,bnds,lon,lat,timec_bnds,pr_corr
2060-12-31 23:30:00,0,55.120000000000005,-21.259999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-21.23,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-21.2,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-21.169999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-21.14,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-21.11,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-21.08,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-21.049999999999997,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-21.02,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.99,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.959999999999997,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.93,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.9,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.869999999999997,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.84,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.81,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.779999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.75,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.72,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.689999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.120000000000005,-20.66,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.47,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.439999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.41,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.38,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.349999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.32,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.29,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.259999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.23,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.2,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.169999999999998,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.14,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.11,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.08,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.049999999999997,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-21.02,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.99,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.959999999999997,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.93,2040-01-01 23:30:00,0.0
2060-12-31 23:30:00,0,55.15,-20.9,2040-01-01 23:30:00,0.0
